No.,브랜드,카테고리,할인 제공처,할인/혜택 유형,혜택 상세,대상·조건,한도·횟수,중복 적용,적용 기간,출처 URL,수집일,비고
99,CGV,문화/레저,CGV(CJ ONE 멤버십),포인트 적립,"상품/서비스 구매 시 결제 금액의 0.3%~5% CJ ONE 포인트 기본 적립. 1,000P 이상 시 전국 CGV 영화 관람·매점 이용 시 1P=1원 현금처럼 사용 가능. 매월 1일~말일 제휴 브랜드 3개 이상 이용 시 적립 포인트의 20% 추가 적립.",CJ ONE 회원 가입자,"1P=1원, 1,000P 이상 사용 가능",CGV 자체 적립이므로 통신사·카드사 할인과 별도,상시,https://section.cgv.co.kr/user/membership/,2026-05-13,CGV 자체 적립식 카드. CGV VIP 등급제(매표 사전예매 5%/당일 3% VIP 점수 적립)는 CJ ONE 포인트와 별도 운영
100,CGV,문화/레저,SKT T멤버십,할인,"영화 관람권(11,000원 이상) 예매 시 최대 4,000원 할인. 11,000원권 1,000원 / 12,000원권 2,000원 / 13,000원권 3,000원 / 14,000원 이상 4,000원 할인. T 멤버십 앱에서 예매 시 적용.",T 멤버십 전등급(VIP/GOLD/SILVER),"하루 1회, 1회 최대 5좌석, 2D 일반 영화에 한함",쿠폰·포인트·카드 등 다른 할인 혜택과 중복 적용 불가,상시,https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=973,2026-05-13,T 우주 LITE 고객 제외. T 플러스포인트 사용 불가
101,CGV,문화/레저,SKT T멤버십 VIP PICK,할인/무료관람,"무료 관람 연 3회 + 평일/주말 관람 1+1 연 9회(2D 일반 영화) + 특별관(CGV 4DX 2D / SCREENX 2D / IMAX 2D) 할인 가격 예매 연 12회 추가. 무료/1+1은 예매 정가 7,000원 이상 영화에만 적용.",T 멤버십 VIP 등급,VIP PICK 통합 월 1회(연 12회). 특별관 예매 혜택은 별도 연 12회 추가 제공,다른 VIP PICK 혜택과 영화 혜택을 포함해 연 12회,상시,https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=973,2026-05-13,VIP PICK 매달 1개 제휴사 혜택만 이용 가능. T 멤버십 앱에서 예매
102,CGV,문화/레저,KT 멤버십,할인,"KT 멤버십 앱/웹 예매 시 12,000~16,000원 티켓 최대 5,000원 할인. 12,000원/1,000원, 13,000원/2,000원, 14,000원/3,000원, 15,000원/4,000원, 16,000원/5,000원 할인. 동반 4인까지 동일 할인 제공.",KT 멤버십 전등급,일 1회. 2D(일반상영관/컴포트석/MYBOX)에 한함,조조/청소년 등 중복할인 제외. 특별관(IMAX/Sweet Box/3D/4D) 제외,상시,https://membership.kt.com/discount/partner/C23/65/PartnerDetail.do,2026-05-13,현장할인 불가. 제외극장: 고성·기린·원통·인제·청담씨네시티. 2025-05-08 포인트 제도 폐지로 포인트 차감 없이 이용
103,CGV,문화/레저,KT 멤버십,할인/현장,"CGV 현장 매점 콤보 3,000원 할인. CGV콤보·더블콤보·라지콤보 대상(맛 변경·사이즈 변경 시 추가금액 발생). 쿠폰 다운로드 후 영화관 내 현장 키오스크에서 적용.",KT 멤버십 전등급,월 1회. 매월 선착순 3만명 한정,CGV의 타 할인 쿠폰과 중복 적용 불가,상시,https://membership.kt.com/discount/partner/C23/65/PartnerDetail.do,2026-05-13,"쿠폰은 KT멤버십 앱에서 월 1회 다운로드, 당월 말일까지 사용. 현장 매점 할인 제외극장 다수 있음"
104,CGV,문화/레저,LG U+ 멤버십,할인/무료관람,VIP콕(영화 예매) 선택 시 무료 예매 연 3회 + 1+1 예매 연 9회. U+one 앱 또는 U+ 홈페이지에서 예매.,LG U+ 멤버십 VIP/VVIP 등급,연 12회(무료 3 + 1+1 9). VIP콕은 분기별 1회 변경 가능,VIP콕은 라이프콕·구독콕 중 1개만 선택 가능. 영화 예매는 다른 VIP콕 혜택과 중복 불가,상시,https://www.lguplus.com/benefit-membership/movie-booking/guest,2026-05-13,"U+멤버십 앱은 2025-11 종료, 당신의 U+ 앱(U+one)으로 통합. 1+1 예매는 2D 일반 영화 한정"
105,메가박스,문화/레저,메가박스(자체 멤버십),포인트 적립,"메가박스 멤버십 가입 시 영화 관람·매점 이용에 따른 포인트 적립. 적립된 포인트는 평일 한정으로 영화 관람 시 티켓가 100% 차감 결제 가능. 매점은 1,000P 이상 사용 가능. OK캐쉬백(1.8%)·L.POINT(2%) 제휴 적립 동시 가능.",메가박스 멤버십 회원,포인트 결제는 평일 한정,"T-멤버십 할인 시 OK캐쉬백·L.POINT 적립 불가, 그 외에는 적립 가능",상시,https://www.megabox.co.kr/,2026-05-13,공식 페이지에 등급별 적립률(일반·VIP·VVIP·MVIP) 구체 수치는 미게재 — 운영 시 회원 화면 또는 약관 재확인 필요
106,메가박스,문화/레저,SKT T멤버십,할인,"영화 관람권(11,000원 이상) 예매 시 최대 4,000원 할인. 11,000원권 1,000원 / 12,000원권 2,000원 / 13,000원권 3,000원 / 14,000원 이상 4,000원 할인. T 멤버십 앱에서 예매 시 적용.",T 멤버십 전등급(VIP/GOLD/SILVER),"하루 1회, 1회 최대 5좌석, 2D 일반 영화에 한함",쿠폰·포인트·카드 등 다른 할인 혜택과 중복 적용 불가,상시,https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=968,2026-05-13,T 우주 LITE 고객 제외. T 플러스포인트 사용 불가
107,메가박스,문화/레저,SKT T멤버십 VIP PICK,할인/무료관람,"무료 관람 연 3회 + 평일/주말 관람 1+1 연 9회(2D 일반 영화) + 특별관 할인 가격 예매 연 12회 추가. 무료/1+1은 예매 정가 7,000원 이상 영화에만 적용.",T 멤버십 VIP 등급,VIP PICK 통합 월 1회(연 12회). 특별관 예매 혜택은 별도 연 12회 추가 제공,다른 VIP PICK 혜택과 영화 혜택을 포함해 연 12회,상시,https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=968,2026-05-13,VIP PICK 매달 1개 제휴사 혜택만 이용 가능. T 멤버십 앱에서 예매
108,메가박스,문화/레저,KT 멤버십,할인,"KT 멤버십 앱/웹 예매 시 최대 6,000원 할인. 평일(월~목) 11,000~16,000원 티켓 1,000~6,000원 할인. 주말(금~일) 12,000~17,000원 티켓 1,000~6,000원 할인. 동반 4인까지 동일 할인 제공.",KT 멤버십 전등급,일 1회(2D),현장할인 불가,상시,https://membership.kt.com/discount/partner/C23/67/PartnerDetail.do,2026-05-13,2D 일반상영관·컴포트관·Dolby Atmos관·부티크관·LED관·르 리클라이너관에 한함(특화관/특수좌석 추가 결제). 제외극장: 픽쳐하우스
